COLLEGE (from NFL Roster),From School Budget File
--,
Air Force,
Akron,University of Akron Main Campus
Alabama,The University of Alabama
Alabama State,Alabama State University
Albany State (GA),Albany State University
Appalachian State,Appalachian State University
Arizona,University of Arizona
Arizona State,Arizona State University-Tempe
Arkansas,University of Arkansas
Arkansas State,Arkansas State University-Main Campus
Arkansas-Pine Bluff,University of Arkansas at Pine Bluff
Army,
Ashland,Ashland University
Assumption,Assumption College
Auburn,Auburn University
Augustana (SD),Augustana University
Ball State,Ball State University
Baylor,Baylor University
Beloit College,Beloit College
Bemidji State,Bemidji State University
Bloomsburg,Bloomsburg University of Pennsylvania
Boise State,Boise State University
Boston College,Boston College
Bowling Green,Bowling Green State University-Main Campus
Bucknell,Bucknell University
Buffalo,University at Buffalo
BYU,Brigham Young University-Provo
Cal Poly,California Polytechnic State University-San Luis Obispo
California,University of California-Berkeley
California (PA),California University of Pennsylvania
Canisius,Canisius College
Carson-Newman,Carson-Newman University
Central Arkansas,University of Central Arkansas
Central Michigan,Central Michigan University
Charleston Univ,College of Charleston
Charlotte,University of North Carolina at Charlotte
Chattanooga,The University of Tennessee-Chattanooga
Cincinnati,University of Cincinnati-Main Campus
Citadel,Citadel Military College of South Carolina
Clemson,Clemson University
Coastal Carolina,Coastal Carolina University
Colorado,University of Colorado Boulder
Colorado State,Colorado State University-Fort Collins
Colorado State-Pueblo,Colorado State University-Pueblo
Concordia College (MN),Concordia College at Moorhead
Connecticut,University of Connecticut
Cornell,Cornell College
Dayton,University of Dayton
Delaware,University of Delaware
Duke,Duke University
East Carolina,East Carolina University
East Central,East Central University
Eastern Illinois,Eastern Illinois University
Eastern Kentucky,Eastern Kentucky University
Eastern Michigan,Eastern Michigan University
Eastern Washington,Eastern Washington University
Elon,Elon University
Ferris State,Ferris State University
Findlay,The University of Findlay
Florida,University of Florida
Florida Atlantic,Florida Atlantic University
Florida International,Florida International University
Florida State,Florida State University
Fordham,Fordham University
Fort Hays State,Fort Hays State University
Fresno State,California State University-Fresno
Furman,Furman
Georgia,University of Georgia
Georgia Southern,Georgia Southern University
Georgia State,Georgia State University
Georgia Tech,Georgia Institute of Technology-Main Campus
Grambling State,Grambling State University
Grand Valley State,Grand Valley State University
Harvard,Harvard University
Hawai'i',University of Hawaii at Manoa
Hobart,Hobart William Smith Colleges
Holy Cross,College of the Holy Cross
Houston,University of Houston
Humboldt State,Humboldt State University
Idaho,University of Idaho
Idaho State,Idaho State University
Illinois,University of Illinois at Urbana-Champaign
Illinois State,Illinois State University
Indiana,Indiana University-Bloomington
Indiana State,Indiana State University
Iowa,University of Iowa
Iowa State,Iowa State University
Jacksonville State,Jacksonville State University
James Madison,James Madison University
Kansas,University of Kansas
Kansas State,Kansas State University
Kent State,Kent State University at Kent
Kentucky,University of Kentucky
Kentucky Wesleyan,Kentucky Wesleyan College
Lenoir-Rhyne,Lenoir-Rhyne University
Liberty,Liberty University
Lindenwood,Lindenwood University
Louisiana Tech,Louisiana Tech University
Louisiana-Lafayette,University of Louisiana at Lafayette
Louisville,University of Louisville
LSU,Louisiana State University and Agricultural & Mechanical College
Maine,University of Maine
Malone University,Malone University
Manitoba,
Marist,Marist College
Mars Hill,Mars Hill University
Marshall,Marshall University
Maryland,University of Maryland-College Park
Massachusetts,University of Massachusetts-Amherst
McNeese State,McNeese State University
Memphis,University of Memphis
Miami (FL),University of Miami
Miami (OH),Miami University-Oxford
Michigan,University of Michigan-Ann Arbor
Michigan State,Michigan State University
Middle Tennessee,Middle Tennessee State University
Midwestern State,Midwestern State University
Milwaukee,University of Wisconsin-Milwaukee
Minnesota,University of Minnesota-Twin Cities
Minnesota State-Mankato,Minnesota State University-Mankato
Mississippi State,Mississippi State University
Missouri,University of Missouri-Columbia
Missouri S & T,Missouri University of Science and Technology
Missouri Southern State,Missouri Southern State University
Missouri State,Missouri Southern State University
Missouri Western,Missouri Western State University
Monmouth,Monmouth University
Montana State,Montana State University
Morgan State,Morgan State University
Navy,
Nebraska,University of Nebraska-Lincoln
Nevada,University of Nevada-Reno
New Mexico,University of New Mexico-Main Campus
New Mexico State,New Mexico State University-Main Campus
Newberry,Newberry College
North Alabama,University of North Alabama
North Carolina,University of North Carolina at Chapel Hill
North Carolina A&T,North Carolina A & T State University
North Carolina Central,North Carolina Central University
North Carolina State,North Carolina State University at Raleigh
North Dakota State,North Dakota State University-Main Campus
North Texas,University of North Texas
Northern Arizona,Northern Arizona University
Northern Colorado,University of Northern Colorado
Northern Illinois,Northern Illinois University
Northern Iowa,University of Northern Iowa
Northwestern,Northwest University
Notre Dame,University of Notre Dame
Ohio,Ohio University-Main Campus
Ohio State,Ohio State University-Main Campus
Oklahoma,University of Oklahoma-Norman Campus
Oklahoma State,Oklahoma State University-Main Campus
Old Dominion,Old Dominion University
Ole Miss,University of Mississippi
Oregon,University of Oregon
Oregon State,Oregon State University
Penn State,Pennsylvania State University-Main Campus
Pennsylvania,University of Pennsylvania
Pittsburg State,Pittsburg State University
Pittsburgh,University of Pittsburgh-Pittsburgh Campus
Portland State,Portland State University
Prairie View A&M,Prairie View A & M University
Presbyterian,Presbyterian College
Princeton,Princeton University
Purdue,Purdue University-Main Campus
Rice,Rice University
Rutgers,Rutgers University-New Brunswick
Sacramento State,California State University-Sacramento
Saginaw Valley,Saginaw Valley State University
Sam Houston State,Sam Houston State University
Samford,Samford University
San Diego,University of San Diego
San Diego State,San Diego State University
San Jose State,San Jose State University
Sioux Falls,University of Sioux Falls
SMU,Southern Methodist University
South Alabama,University of South Alabama
South Carolina,University of South Carolina-Columbia
South Carolina State,South Carolina State University
South Dakota,University of South Dakota
South Florida,University of South Florida-Main Campus
Southern Arkansas,Southern Arkansas University Main Campus
Southern Illinois,Southern Illinois University-Carbondale
Southern Miss,University of Southern Mississippi
Southern University,Southern University and A & M College
Southern Utah,Southern Utah University
Stanford,Stanford University
Stephen F. Austin,Stephen F Austin State University
Stetson,Stetson University
Syracuse,Syracuse University
Tarleton State,Tarleton State University
TCU,Texas Christian University
Temple,Temple University
Tennessee,The University of Tennessee-Knoxville
Tennessee State,Tennessee State University
Texas,The University of Texas at Austin
Texas A&M,Texas A & M University-College Station
Texas State,Texas State University
Texas Tech,Texas Tech University
Toledo,University of Toledo
Towson,Towson University
Troy,Troy University
Tulane,Tulane University of Louisiana
Tulsa,University of Tulsa
U Regina ca,
UAB,University of Alabama at Birmingham
UC Irvine,University of California-Irvine
UCF,University of Central Florida
UCLA,University of California-Los Angeles
UNLV,University of Nevada-Las Vegas
USC,University of Southern California
Utah,University of Utah
Utah State,Utah State University
UTEP,The University of Texas at El Paso
UTSA,The University of Texas at San Antonio
Valdosta State,Valdosta State University
Vanderbilt,Vanderbilt University
Villanova,Villanova University
Virginia,University of Virginia-Main Campus
Virginia Commonwealth,Virginia Commonwealth University
Virginia State,Virginia State University
Virginia Tech,Virginia Polytechnic Institute and State University
Wagner,Wagner College
Wake Forest,Wake Forest University
Washburn,Washburn University
Washington,University of Washington-Seattle Campus
Washington State,Washington State University
Weber State,Weber State University
West Alabama,University of West Alabama
West Georgia,University of West Georgia
West Virginia,West Virginia University
Western Carolina,Western Carolina University
Western Kentucky,Western Kentucky University
Western Michigan,Western Michigan University
William & Mary,College of William and Mary
Wisconsin,University of Wisconsin-Madison
Wisconsin-Platteville,University of Wisconsin-Platteville
Wyoming,University of Wyoming
Yale,Yale University
Youngstown State,Youngstown State University
