Name,Address,Latitude,Longitude,
Abilene Christian University,"ACU Box 27916,Abilene,TX,79699",32.469732,-32.469732,
Abraham Baldwin Agricultural College,"2802 Moore Hwy,Tifton,GA,31793",31.4819694,-31.4819694,
Academy of Art University,"79 New Montgomery,San Francisco,CA,94105",37.7879584,-37.7879584,
Adams State University,"208 Edgemont Blvd,Alamosa,CO,81101",37.4710901,-37.4710901,
Adelphi University,"South Ave,Garden City,NY,11530",40.7227969,-40.7227969,
Adirondack Community College,"640 Bay Rd,Queensbury,NY,12804",43.354045,-43.354045,
Adrian College,"110 S Madison St,Adrian,MI,49221",41.8965125,-41.8965125,
Alabama A & M University,"4900 Meridian Street,Normal,AL,35762",34.7927879,-34.7927879,
Alabama State University,"915 S Jackson Street,Montgomery,AL,36104",32.3651836,-32.3651836,
Albany College of Pharmacy and Health Sciences,"106 New Scotland Avenue,Albany,NY,12208",42.6519665,-42.6519665,
Albany State University,"504 College Drive,Albany,GA,31705",31.5734365,-31.5734365,
Albany Technical College,"1704 South Slappey Boulevard,Albany,GA,31701",31.554176,-31.554176,
Albertus Magnus College,"700 Prospect St,New Haven,CT,6511",41.3315693,-41.3315693,
Albion College,"611 E Porter St,Albion,MI,49224",42.2439655,-42.2439655,
Albright College,"1621 N. 13th St.,Reading,PA,19612",40.3603494,-40.3603494,
Alcorn State University,"1000 ASU Dr Ste 359,Alcorn State,MS,39096",31.8759422,-31.8759422,
Alderson Broaddus University,"101 College Hill Drive,Philippi,WV,26416",39.1579337,-39.1579337,
Alfred University,"One Saxon Drive,Alfred,NY,14802",42.253418,-42.253418,
Alice Lloyd College,"100 Purpose Rd,Pippa Passes,KY,41844",37.3344951,-37.3344951,
Allan Hancock College,"800 South College Drive,Santa Maria,CA,93454",34.9438546,-34.9438546,
Allegany College of Maryland,"12401 Willowbrook Rd SE,Cumberland,MD,21502",39.6528705,-39.6528705,
Allegheny College,"520 N Main St,Meadville,PA,16335",41.6482949,-41.6482949,
Allen County Community College,"1801 N Cottonwood,Iola,KS,66749",37.938448,-37.938448,
Allen University,"1530 Harden Street,Columbia,SC,29204",34.0109162,-34.0109162,
Alma College,"614 W Superior,Alma,MI,48801",43.3789707,-43.3789707,
Alpena Community College,"665 Johnson St,Alpena,MI,49707",45.079889,-45.079889,
Alvernia University,"400 Saint Bernardine St,Reading,PA,19607",40.3108142,-40.3108142,
Alvin Community College,"3110 Mustang Rd,Alvin,TX,77511",29.3990108,-29.3990108,
American International College,"1000 State Street,Springfield,MA,1109",42.1131176,-42.1131176,
American River College,"4700 College Oak Dr,Sacramento,CA,95841",38.6488478,-38.6488478,
American University,"4400 Massachusetts Ave NW,Washington,DC,20016",38.9399652,-38.9399652,
American University of Puerto Rico,"Carr. #2, Km.14.4, Bo. Hato Tejas,Bayamon,PR,960",18.4067603,-18.4067603,
Amherst College,"Boltwood Avenue,Amherst,MA,1002",42.3740663,-42.3740663,
Ancilla College,"9601 S. Union Road,Donaldson,IN,46513",41.3377279,-41.3377279,
Anderson University,"316 Boulevard,Anderson,SC,29621",34.5143475,-34.5143475,
Anderson University,"1100 E 5th St,Anderson,IN,46012",40.1100894,-40.1100894,
Andrew College,"501College St,Cuthbert,GA,39840",31.772328,-31.772328,
Andrews University,"4150 Administration Drive, Room 136,Berrien Springs,MI,49104",41.9628187,-41.9628187,
Angelina College,"3500 South First,Lufkin,TX,75902",31.2871142,-31.2871142,
Angelo State University,"2601 W. Avenue N,San Angelo,TX,76909",31.4414289,-31.4414289,
Anna Maria College,"50 Sunset Lane,Paxton,MA,1612",42.327075,-42.327075,
Anne Arundel Community College,"101 College Pky,Arnold,MD,21012",39.0490696,-39.0490696,
Anoka-Ramsey Community College,"11200 Mississippi Blvd NW,Coon Rapids,MN,55433",45.1740986,-45.1740986,
Antelope Valley College,"3041 West  Ave K,Lancaster,CA,93536",34.6761685,-34.6761685,
Appalachian Bible College,"161 College Drive,Mount Hope,WV,25880",37.853737,-37.853737,
Appalachian State University,"287 Rivers St,Boone,NC,28608",36.2109506,-36.2109506,
Aquinas College,"1700 Fulton St. E,Grand Rapids,MI,49506",42.9610438,-42.9610438,
Arcadia University,"450 S Easton Rd,Glenside,PA,19038",40.092564,-40.092564,
Arizona Christian University,"1 West Firestorm Way,Glendale,AZ,85306",33.6209932,-33.6209932,
Arizona State University-Tempe,"University Drive and Mill Avenue,Tempe,AZ,85287",33.4219437,-33.4219437,
Arizona Western College,"2020 S. Avenue 8E,Yuma,AZ,85365",32.688474,-32.688474,
Arkansas Baptist College,"1600 Dr. Martin Luther King Drive,Little Rock,AR,72202",34.7354335,-34.7354335,
Arkansas State University Mid-South,"2000 W.  Broadway,West Memphis,AR,72301",35.1456656,-35.1456656,
Arkansas State University-Main Campus,"2105 E. Aggie Road,Jonesboro,AR,72401",35.8414567,-35.8414567,
Arkansas Tech University,"1509 N Boulder Ave,Russellville,AR,72801",35.293186,-35.293186,
