Team,Pos,No,Name,Height,Weight,DOB (YYYY-MM-DD),From
Boston Celtics,G/F,7,"Brown, Jaylen",6 ft 6 in (1.98 m),223 lb (101 kg),1996–10–24,California
Boston Celtics,G,4,"Edwards, Carsen",5 ft 11 in (1.80 m),200 lb (91 kg),1998–03–12,Purdue
Boston Celtics,C,99,"Fall, Tacko (TW, FA)",7 ft 5 in (2.26 m),311 lb (141 kg),1995–12–10,Central Florida
Boston Celtics,G/F,43,"Green, Javonte ",6 ft 4 in (1.93 m),205 lb (93 kg),1993–07–23,Radford
Boston Celtics,F,20,"Hayward, Gordon",6 ft 7 in (2.01 m),225 lb (102 kg),1990–03–23,Butler
Boston Celtics,C,11,"Kanter, Enes",6 ft 10 in (2.08 m),250 lb (113 kg),1992–05–20,Turkey
Boston Celtics,G/F,45,"Langford, Romeo ",6 ft 4 in (1.93 m),216 lb (98 kg),1999–10–25,Indiana
Boston Celtics,F,37,"Ojeleye, Semi",6 ft 6 in (1.98 m),240 lb (109 kg),1994–12–05,SMU
Boston Celtics,F/C,77,"Poirier, Vincent",7 ft 0 in (2.13 m),235 lb (107 kg),1993–10–27,France
Boston Celtics,G,36,"Smart, Marcus",6 ft 3 in (1.91 m),220 lb (100 kg),1994–03–06,Oklahoma State
Boston Celtics,G/F,0,"Tatum, Jayson",6 ft 8 in (2.03 m),210 lb (95 kg),1998–03–03,Duke
Boston Celtics,F/C,27,"Theis, Daniel",6 ft 8 in (2.03 m),245 lb (111 kg),1992–04–04,Germany
Boston Celtics,G,8,"Walker, Kemba",6 ft 0 in (1.83 m),184 lb (83 kg),1990–05–08,Connecticut
Boston Celtics,G,9,"Wanamaker, Brad (FA)",6 ft 3 in (1.91 m),210 lb (95 kg),1989–07–25,Pittsburgh
Boston Celtics,G,51,"Waters, Tremont (TW, FA)",5 ft 10 in (1.78 m),175 lb (79 kg),1998–01–10,LSU
Boston Celtics,F,12,"Williams, Grant",6 ft 6 in (1.98 m),236 lb (107 kg),1998–11–30,Tennessee
Boston Celtics,F/C,44,"Williams, Robert",6 ft 8 in (2.03 m),237 lb (108 kg),1997–10–17,Texas A&M
Brooklyn Nets,G,4,"Chiozza, Chris (TW, FA)",5 ft 11 in (1.80 m),175 lb (79 kg),1995–11–25,Florida
Brooklyn Nets,G,11,"Irving, Kyrie ",6 ft 2 in (1.88 m),195 lb (88 kg),1992–03–23,Duke
Brooklyn Nets,G,0,"Martin, Jeremiah (TW)",6 ft 2 in (1.88 m),185 lb (84 kg),1996–06–19,Memphis
Brooklyn Nets,G,8,"Johnson, Tyler (FA)",6 ft 3 in (1.91 m),186 lb (84 kg),1992–05–07,Fresno State
Brooklyn Nets,G/F,10,"Anderson, Justin (FA)",6 ft 5 in (1.96 m),231 lb (105 kg),1993–11–19,Virginia
Brooklyn Nets,G,1,"Crawford, Jamal  (FA)",6 ft 5 in (1.96 m),185 lb (84 kg),1980–03–26,Michigan
Brooklyn Nets,G,26,"Dinwiddie, Spencer ",6 ft 5 in (1.96 m),215 lb (98 kg),1993–04–06,Colorado
Brooklyn Nets,G/F,17,"Temple, Garrett",6 ft 5 in (1.96 m),195 lb (88 kg),1986–05–08,LSU
Brooklyn Nets,G/F,12,"Harris, Joe (FA)",6 ft 6 in (1.98 m),220 lb (100 kg),1991–09–07,Virginia
Brooklyn Nets,G,22,"LeVert, Caris",6 ft 6 in (1.98 m),205 lb (93 kg),1994–08–25,Michigan
Brooklyn Nets,G/F,9,"Luwawu-Cabarrot, Timothé",6 ft 7 in (2.01 m),220 lb (100 kg),1995–05–09,France
Brooklyn Nets,F,2,"Prince, Taurean ",6 ft 7 in (2.01 m),218 lb (99 kg),1994–03–22,Baylor
Brooklyn Nets,F,21,"Chandler, Wilson  (FA)",6 ft 8 in (2.03 m),235 lb (107 kg),1987–05–10,DePaul
