State,Q2_2020,Q1_2020,Q2_2019,Q1_Q2_2020_Delta,Q2_2019_2020_Delta
Alabama,2752287,3099840,3289923,-11.21,-16.34
Alaska,225702,277837,486241,-18.76,-53.58
Arizona,3573657,3793475,5177312,-5.79,-30.97
Arkansas,2580790,2241805,3068456,15.12,-15.89
California,34710408,49047453,63388453,-29.23,-45.24
Colorado,3282074,3476482,4638425,-5.59,-29.24
Connecticut,3466862,4670941,7444837,-25.78,-53.43
Delaware,1390960,1242469,1606364,11.95,-13.41
Florida,9864443,11733820,12843380,-15.93,-23.19
Georgia,5351202,5650512,6734995,-5.3,-20.55
Hawaii,1913445,2067327,2385365,-7.44,-19.78
Idaho,1685452,1169176,1607846,44.16,4.83
Illinois,10465082,12039485,12569852,-13.08,-16.74
Indiana,5310961,5244950,6702961,1.26,-20.77
Iowa,2324583,2535904,3595124,-8.33,-35.34
Kansas,2452034,2729901,3300678,-10.18,-25.71
Kentucky,3215683,3181332,3468912,1.08,-7.3
Louisiana,2781572,2708148,3506750,2.71,-20.68
Maine,1408342,975460,1401480,44.38,0.49
Maryland,6481947,5644049,8386257,14.85,-22.71
Massachusetts,6564517,7530438,10008394,-12.83,-34.41
Michigan,5773077,4352211,6615355,32.65,-12.73
Minnesota,7102314,6197448,9167151,14.6,-22.52
Mississippi,2231000,1913905,2638482,16.57,-15.44
Missouri,2886524,3167077,4053785,-8.86,-28.79
Montana,892726,728527,1058429,22.54,-15.66
Nebraska,1428039,1439183,1779967,-0.77,-19.77
Nevada,3618370,2576578,4082157,40.43,-11.36
New Hampshire,609425,975647,757860,-37.54,-19.59
New Jersey,13611092,9198936,15023729,47.96,-9.4
New Mexico,1744674,1749495,2171686,-0.28,-19.66
New York,15643696,25969765,26061877,-39.76,-39.97
North Carolina,7338569,6925158,9082842,5.97,-19.2
North Dakota,662674,1199154,1335949,-44.74,-50.4
Ohio,7385883,7515008,8615461,-1.72,-14.27
Oklahoma,2398523,2364303,3113479,1.45,-22.96
Oregon,3075109,2377736,4335639,29.33,-29.07
Pennsylvania,8183649,11541339,11702613,-29.09,-30.07
Rhode Island,818071,840701,1112857,-2.69,-26.49
South Carolina,2798954,2246787,3500498,24.58,-20.04
South Dakota,484543,494344,477280,-1.98,1.52
Tennessee,4235656,4279275,5124435,-1.02,-17.34
Texas,12277732,15718041,18319758,-21.89,-32.98
Utah,2981635,2286494,3263379,30.4,-8.63
Vermont,1536917,631310,1705282,143.45,-9.87
Virginia,5364228,5904687,7273654,-9.15,-26.25
Washington,4354246,8253928,8641091,-47.25,-49.61
West Virginia,1326994,1325222,1774259,0.13,-25.21
Wisconsin,5807347,4140297,7551470,40.26,-23.1
Wyoming,629426,445873,776817,41.17,-18.97
"Washington, D.C",1676406,2408012,2140788,-30.38,-21.69
