institution_name,partic_men_bskball,partic_men_football,rev_men_bskball,rev_men_football,exp_men_bskball,exp_men_football
Clemson University,15,124,9224524,61378516,8229736,55649888
Duke University,15,116,35489891,40328603,22178473,28806459
Florida State University,18,108,16773013,68893857,16773013,68893857
Indiana University-Bloomington,17,122,27008415,52577443,13230211,24216483
Louisiana State University and Agricultural & Mechanical College,14,118,9965537,91950610,9512515,35319160
Ohio State University-Main Campus,14,131,24953122,115091304,10996364,60076743
The University of Alabama,16,133,16028795,94604899,15966875,69718059
The University of Texas at Austin,15,115,16493236,156147208,11649912,43200270
University of Arizona,16,123,22437254,43272457,10383630,22548661
University of California-Los Angeles,16,116,11959355,41288698,15468381,35463068
University of Florida,16,119,11943413,84837920,9317385,39149664
University of Kansas,16,130,18974009,38148252,12547439,25325279
University of Kentucky,13,124,38829651,41366437,20202558,31446474
University of Miami,13,113,9988284,56257383,8895333,56257383
University of Michigan-Ann Arbor,15,140,21114322,122270243,9874360,47430574
University of North Carolina at Chapel Hill,37,129,27076307,39314461,11204115,23127138
University of Notre Dame,13,120,4153208,115510518,8331273,50201929
University of Oklahoma-Norman Campus,16,119,12355263,94817907,10072404,43453315
University of Washington-Seattle Campus,19,114,11409380,84041770,9224123,40474139
Villanova University,15,94,14428932,6765161,14428932,6765161
