Name,Address,Latitude,Longitude
Montana State University,PO BOX 172420 Bozeman MT 597172420,45.6674,-111.0546
Simon Fraser University,8888 University Drive  None None None,49.2768,-122.918
University of the Virgin Islands,2 John Brewers Bay Charlotte Amalie VI 802,18.343413,-64.968532
University of Puerto Rico-Humacao,Call Box 860 Humacao PR 792,18.1551337,-65.8203943
Universidad del Este,Carretera 190 Km 1.8 Esquina Calle 220 Carolina PR 983,18.411038,-65.9820226
University of Puerto Rico-Carolina,Carretera 887 Bo San Anton Carolina PR 984,18.3910677,-65.9898533
Universidad del Turabo,Carr. # 189 Km 3.3 Gurabo PR 778,18.244559,-66.006685
Universidad Politecnica de Puerto Rico,377 Ponce de Leon Ave Hato Rey PR 919,18.4225853,-66.0570192
Universidad Metropolitana,1399 Ave. Ana G. Méndez San Juan PR 926,18.3870373,-66.0614433
University of Puerto Rico-Rio Piedras,Rectoria San Juan PR 9252526,18.4655394,-66.1057355
University of Puerto Rico-Bayamon,Road 174 #170 Minillas Industrial Park Bayamon PR 959,18.3718284,-66.1428143
University of Puerto Rico-Cayey,205 Antonio R. Barcelo Ave. Cayey PR 737,18.1176554,-66.1616042
Caribbean University-Bayamon,167 Ave.  Km 21.2 Bayamon PR 960,18.3870265,-66.1630173
Universidad Central de Bayamon,Avenida Zaya Verde La Milagrosa Barrio Hato Tejas Bayamón PR 960,18.3983485,-66.1830006
American University of Puerto Rico,Carr. #2  Km.14.4  Bo. Hato Tejas Bayamon PR 960,18.4067603,-66.1837486
University of Puerto Rico-Ponce,2151 Santiago de los Caballeros Avenue Ponce PR 716,17.9706117,-66.611796
Pontifical Catholic University of Puerto Rico-Ponce,2250 Boulevard Luis A. Ferre Aguayo Suite 608 Ponce PR 717,18.0033854,-66.6213663
University of Puerto Rico-Utuado,Carr. # 10 Km. 52.2 Utuado PR 641,18.1785473,-66.7343051
University of Puerto Rico-Arecibo,Finca las Dunas Carr 653 Ruta 129 Km 8 Arecibo PR 614,18.4652704,-66.7347812
Inter American University of Puerto Rico-San German,Rd. 102 Km. 30.6 San German PR 683,18.0807082,-67.0411096
University of Puerto Rico-Aguadilla,Belt St. Ramey Base Aguadilla PR 604,18.4953957,-67.1355779
