count,school,address,latitude,longitude
28,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-84.5071374
28,University of Kentucky,South Limestone Lexington KY 40506,38.0380607,-38.0380607
24,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
24,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-78.9382286
14,University of North Carolina at Chapel Hill,103 South Bldg Cb 9100 Chapel Hill NC 27599,35.9132961,-35.9132961
14,University of North Carolina at Chapel Hill,103 South Bldg Cb 9100 Chapel Hill NC 27599,35.9132961,-79.050072
13,University of California-Los Angeles,405 Hilgard Ave Los Angeles CA 90095,34.0725988,-118.439277
13,University of California-Los Angeles,405 Hilgard Ave Los Angeles CA 90095,34.0725988,-34.0725988
11,The University of Texas at Austin,110 Inner Campus Drive Austin TX 78712,30.2861062,-30.2861062
11,University of Kansas,Strong Hall  1450 Jayhawk Blvd  Room 230 Lawrence KS 66045,38.958542,-38.958542
11,The University of Texas at Austin,110 Inner Campus Drive Austin TX 78712,30.2861062,-97.7393634
11,University of Kansas,Strong Hall  1450 Jayhawk Blvd  Room 230 Lawrence KS 66045,38.958542,-95.2476138
10,University of Michigan-Ann Arbor,503 Thompson Street Ann Arbor MI 48109,42.2758739,-42.2758739
10,University of Michigan-Ann Arbor,503 Thompson Street Ann Arbor MI 48109,42.2758739,-83.7427632
9,Indiana University-Bloomington,107 South Indiana Ave. Bloomington IN 47405,39.166111,-39.166111
9,University of Arizona,1401 E University Tucson AZ 85721,32.2327247,-32.2327247
9,University of Arizona,1401 E University Tucson AZ 85721,32.2327247,-110.9508944
9,Indiana University-Bloomington,107 South Indiana Ave. Bloomington IN 47405,39.166111,-86.5267824
8,University of Florida,Tigert Hall Gainesville FL 32611,29.6494246,-29.6494246
8,University of Florida,Tigert Hall Gainesville FL 32611,29.6494246,-82.3399209
8,University of Virginia-Main Campus,1827 University Avenue Charlottesville VA 22903,38.0370443,-38.0370443
8,Villanova University,800 Lancaster Avenue Villanova PA 19085,40.0369846,-75.3444079
8,University of Southern California,University Park Los Angeles CA 90089,34.0309703,-34.0309703
8,University of Virginia-Main Campus,1827 University Avenue Charlottesville VA 22903,38.0370443,-78.5026341
8,University of Southern California,University Park Los Angeles CA 90089,34.0309703,-118.2789735
8,Iowa State University,1750 Beardshear Hall Ames IA 50011,42.0266573,-93.6464516
8,Iowa State University,1750 Beardshear Hall Ames IA 50011,42.0266573,-42.0266573
8,Villanova University,800 Lancaster Avenue Villanova PA 19085,40.0369846,-40.0369846
7,University of Oregon,110 Johnson Hall Eugene OR 97403,44.0637862,-44.0637862
7,The University of Tennessee-Knoxville,527 Andy Holt Tower Knoxville TN 37996,35.9520732,-83.9258338
7,Wake Forest University,1834 Wake Forest Road Winston-Salem NC 27106,36.1348359,-36.1348359
7,The University of Tennessee-Knoxville,527 Andy Holt Tower Knoxville TN 37996,35.9520732,-35.9520732
7,University of Washington-Seattle Campus,1400 NE Campus Parkway Seattle WA 98195,47.6565538,-122.3127075
7,University of Oregon,110 Johnson Hall Eugene OR 97403,44.0637862,-123.0787724
7,University of Washington-Seattle Campus,1400 NE Campus Parkway Seattle WA 98195,47.6565538,-47.6565538
7,Wake Forest University,1834 Wake Forest Road Winston-Salem NC 27106,36.1348359,-80.2708623
6,University of Louisville,2301 S 3rd St Louisville KY 40292,38.2157954,-38.2157954
6,Michigan State University,426 Auditorium Road East Lansing MI 48824,42.7296495,-42.7296495
6,University of Louisville,2301 S 3rd St Louisville KY 40292,38.2157954,-85.7614322
6,Michigan State University,426 Auditorium Road East Lansing MI 48824,42.7296495,-84.4815268
6,Gonzaga University,E 502 Boone Ave Spokane WA 99258,47.6664473,-117.4015208
6,Gonzaga University,E 502 Boone Ave Spokane WA 99258,47.6664473,-47.6664473
5,Florida State University,222 S. Copeland Street Tallahassee FL 32306,30.4404775,-84.2908283
5,Florida State University,222 S. Copeland Street Tallahassee FL 32306,30.4404775,-30.4404775
5,University of Connecticut,352 Mansfield Road Storrs CT 6269,41.8088143,-72.2498767
5,Texas A & M University-College Station,JKW Administration Building  Suite 200 College Station TX 77843,30.6187558,-96.3364772
5,Texas A & M University-College Station,JKW Administration Building  Suite 200 College Station TX 77843,30.6187558,-30.6187558
5,Louisiana State University and Agricultural & Mechanical College,156 Thomas Boyd Hall Baton Rouge LA 70803,30.4150707,-30.4150707
5,Louisiana State University and Agricultural & Mechanical College,156 Thomas Boyd Hall Baton Rouge LA 70803,30.4150707,-91.1791769
5,Creighton University,2500 California Plaza Omaha NE 68178,41.2655878,-41.2655878
5,Creighton University,2500 California Plaza Omaha NE 68178,41.2655878,-95.9486026
5,University of Connecticut,352 Mansfield Road Storrs CT 6269,41.8088143,-41.8088143
5,Syracuse University,900 South Crouse Ave. Syracuse NY 13244,43.049345,-76.138055
5,Syracuse University,900 South Crouse Ave. Syracuse NY 13244,43.049345,-43.049345
4,University of Colorado Boulder,Regent Drive at Broadway Boulder CO 80309,40.0034965,-105.2677112
4,University of Nevada-Las Vegas,4505 S Maryland Pky Las Vegas NV 89154,36.1065217,-36.1065217
