name,team,school,address,latitude,longitude
"Hall, Donta (FA)",Brooklyn Nets,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
"Sexton, Collin",Cleveland Cavaliers,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
"Green, JaMychal",Los Angeles Clippers,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
"Hollis-Jefferson, Rondae",Toronto Raptors,University of Arizona,1401 E University Tucson AZ 85721,32.2327247,-32.2327247
"Johnson, Stanley",Toronto Raptors,University of Arizona,1401 E University Tucson AZ 85721,32.2327247,-32.2327247
"Markkanen, Lauri",Chicago Bulls,University of Arizona,1401 E University Tucson AZ 85721,32.2327247,-32.2327247
"McConnell, T. J.",Indiana Pacers,University of Arizona,1401 E University Tucson AZ 85721,32.2327247,-32.2327247
"Simmons, Kobi (TW, FA)",Charlotte Hornets,University of Arizona,1401 E University Tucson AZ 85721,32.2327247,-32.2327247
"Hill, Solomon",Miami Heat,University of Arizona,1401 E University Tucson AZ 85721,32.2327247,-32.2327247
"Iguodala, Andre",Miami Heat,University of Arizona,1401 E University Tucson AZ 85721,32.2327247,-32.2327247
"Gordon, Aaron",Orlando Magic,University of Arizona,1401 E University Tucson AZ 85721,32.2327247,-32.2327247
"Ayton, Deandre",Phoenix Suns,University of Arizona,1401 E University Tucson AZ 85721,32.2327247,-32.2327247
"Dort, Luguentz",Oklahoma City Thunder,Arizona State University-Tempe,University Drive and Mill Avenue Tempe AZ 85287,33.4219437,-33.4219437
"Harden, James",Houston Rockets,Arizona State University-Tempe,University Drive and Mill Avenue Tempe AZ 85287,33.4219437,-33.4219437
"Cheatham, Zylan (TW)",New Orleans Pelicans,Arizona State University-Tempe,University Drive and Mill Avenue Tempe AZ 85287,33.4219437,-33.4219437
"Portis, Bobby",New York Knicks,University of Arkansas,Administration Bldg 425 Fayetteville AR 72701,36.0699572,-36.0699572
"Gafford, Daniel",Chicago Bulls,University of Arkansas,Administration Bldg 425 Fayetteville AR 72701,36.0699572,-36.0699572
"Beverley, Patrick",Los Angeles Clippers,University of Arkansas,Administration Bldg 425 Fayetteville AR 72701,36.0699572,-36.0699572
"Harper, Jared (TW)",New York Knicks,Auburn University,P.O. Box 351 Auburn AL 36849,32.5909562,-32.5909562
"Prince, Taurean ",Brooklyn Nets,Baylor University,500 Speight Ave. Waco TX 76798,31.5447753,-31.5447753
"O''Neale, Royce",Utah Jazz,Baylor University,500 Speight Ave. Waco TX 76798,31.5447753,-31.5447753
"Motley, Johnathan (TW, FA)",Los Angeles Clippers,Baylor University,500 Speight Ave. Waco TX 76798,31.5447753,-31.5447753
"Windler, Dylan ",Cleveland Cavaliers,Belmont University,1900 Belmont Blvd Nashville TN 37212,36.1336191,-36.1336191
"Hutchison, Chandler",Chicago Bulls,Boise State University,1910 University Dr Boise ID 83725,43.609316,-43.609316
"Robinson, Jerome",Washington Wizards,Boston College,140 Commonwealth Avenue Chestnut Hill MA 2467,42.3355488,-42.3355488
