count,college,address,latitude,longitude
52,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-87.5466476
43,Ohio State University-Main Campus,190 N. Oval Mall Columbus OH 43210,40.0007775,-83.0132446
40,Louisiana State University and Agricultural & Mechanical College,156 Thomas Boyd Hall Baton Rouge LA 70803,30.4150707,-91.1791769
37,University of Florida,Tigert Hall Gainesville FL 32611,29.6494246,-82.3399209
32,University of Michigan-Ann Arbor,503 Thompson Street Ann Arbor MI 48109,42.2758739,-83.7427632
32,University of Washington-Seattle Campus,1400 NE Campus Parkway Seattle WA 98195,47.6565538,-122.3127075
31,University of Miami,University of Miami Coral Gables FL 33146,25.7178924,-80.2746368
30,University of Oklahoma-Norman Campus,660 Parrington Oval Norman OK 73019,35.2085041,-97.4456811
30,Clemson University,201 Sikes Hall Clemson SC 29634,34.679339,-82.835136
29,Florida State University,222 S. Copeland Street Tallahassee FL 32306,30.4404775,-84.2908283
29,University of Notre Dame,400 Main Building Notre Dame IN 46556,41.703084,-86.2389844
29,University of Georgia,Administration Building Athens GA 30602,33.9562553,-83.3740399
28,Pennsylvania State University-Main Campus,201 Old Main University Park PA 16802,40.7964727,-77.8628163
27,The University of Texas at Austin,110 Inner Campus Drive Austin TX 78712,30.2861062,-97.7393634
27,Texas A & M University-College Station,JKW Administration Building  Suite 200 College Station TX 77843,30.6187558,-96.3364772
26,University of Iowa,101 Jessup Hall Iowa City IA 52242,41.661897,-91.5364924
25,University of Wisconsin-Madison,500 Lincoln Dr Madison WI 53706,43.075486,-89.4043511
24,University of California-Los Angeles,405 Hilgard Ave Los Angeles CA 90095,34.0725988,-118.439277
24,Stanford University,450 Serra Mall Stanford CA 94305,37.4400665,-122.1696059
23,University of South Carolina-Columbia,Columbia-Campus Columbia SC 29208,33.9937575,-81.0299186
23,The University of Tennessee-Knoxville,527 Andy Holt Tower Knoxville TN 37996,35.9520732,-83.9258338
22,North Carolina State University at Raleigh,2101 Hillsborough Street Raleigh NC 27695,35.7863971,-78.6631364
21,Mississippi State University,Lee Boulevard Mississippi State MS 39762,33.455202,-88.7882108
21,University of Utah,201 Presidents Circle  ROOM 201 Salt Lake City UT 84112,40.7650458,-111.8489555
21,Auburn University,P.O. Box 351 Auburn AL 36849,32.5909562,-85.4929785
19,University of Nebraska-Lincoln,14th and R St Lincoln NE 68588,40.8175693,-96.7005013
19,University of California-Berkeley,200 California Hall Berkeley CA 94720,37.8718399,-122.2603363
17,University of Southern California,University Park Los Angeles CA 90089,34.0309703,-118.2789735
16,Virginia Polytechnic Institute and State University,210 Burruss Hall  800 Drillfield Dr. Blacksburg VA 24061,37.2290053,-80.4236441
15,Temple University,1801 North Broad Street Philadelphia PA 19122,39.9803512,-75.1570681
