name,team,college,address,latitude,longitude
Justin March,Dallas Cowboys,University of Akron Main Campus,302 Buchtel Common Akron OH 44325,41.0754323,-41.0754323
Ulysees Gilbert III,Pittsburgh Steelers,University of Akron Main Campus,302 Buchtel Common Akron OH 44325,41.0754323,-41.0754323
AJ McCarron,Houston Texans,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Amari Cooper,Dallas Cowboys,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Anfernee Jennings,New England Patriots,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Anthony Averett,Baltimore Ravens,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Bradley Bozeman,Baltimore Ravens,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Calvin Ridley,Atlanta Falcons,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Cam Robinson,jacksonville Jaguars,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Cam Sims,Washington,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Cole Mazza,Los Angeles Chargers,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
D.J. Fluker,Baltimore Ravens,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Da'Shawn Hand,Detroit Lions,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Dalvin Tomlinson,New York Giants,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Damien Harris,New England Patriots,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Damion Square,Los Angeles Chargers,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Daron Payne,Washington,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Deionte Thompson,Arizona Cardinals,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Derrick Henry,Tennessee Titans,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Dre Kirkpatrick,Arizona Cardinals,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Eddie Jackson,Chicago Bears,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Henry Ruggs III,Las Vegas Raiders,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Irv Smith Jr,Minnesota Vikings,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Isaiah Buggs,Pittsburgh Steelers,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
J.C. Hassenauer,Pittsburgh Steelers,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
James Carpenter,Atlanta Falcons,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Jarran Reed,Seattle Seahawks,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Jedrick Wills Jr,Cleveland Browns,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Jerry Jeudy,Denver Broncos,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
JK Scott,Green Bay Packers,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Jonah Williams,Cincinnati Bengals,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Jonathan Allen,Washington,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Josh Jacobs,Las Vegas Raiders,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Julio Jones,Atlanta Falcons,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Kareem Jackson,Denver Broncos,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Kenyan Drake,Arizona Cardinals,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Landon Collins,Washington,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Mack Wilson,Cleveland Browns,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Mark Ingram II,Baltimore Ravens,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Marlon Humphrey,Baltimore Ravens,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Minkah Fitzpatrick,Pittsburgh Steelers,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Quinnen Williams,New York Jets,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Raekwon Davis,Miami Dolphins,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Rashaan Evans,Tennessee Titans,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Reggie Ragland,Detroit Lions,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Ronnie Harrison Jr,Cleveland Browns,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Ryan Anderson,Washington,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Ryan Kelly,Indianapolis Colts,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Saivion Smith,Dallas Cowboys,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Shaun Dion Hamilton,Washington,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
T.J. Yeldon,Buffalo Bills,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Tony Brown,Cincinnati Bengals,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Trevon Diggs,Dallas Cowboys,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Tua Tagovailoa,Miami Dolphins,The University of Alabama,739 University Blvd Tuscaloosa AL 35487,33.2096093,-33.2096093
Tytus Howard,Houston Texans,Alabama State University,915 S Jackson Street Montgomery AL 36104,32.3651836,-32.3651836
Grover Stewart,Indianapolis Colts,Albany State University,504 College Drive Albany GA 31705,31.5734365,-31.5734365
Akeem Davis-Gaither,Cincinnati Bengals,Appalachian State University,287 Rivers St Boone NC 28608,36.2109506,-36.2109506
Daniel Kilgore,Kansas City Chiefs,Appalachian State University,287 Rivers St Boone NC 28608,36.2109506,-36.2109506
Darrynton Evans,Tennessee Titans,Appalachian State University,287 Rivers St Boone NC 28608,36.2109506,-36.2109506
Kendall Lamm,Cleveland Browns,Appalachian State University,287 Rivers St Boone NC 28608,36.2109506,-36.2109506
Sam Martin,Denver Broncos,Appalachian State University,287 Rivers St Boone NC 28608,36.2109506,-36.2109506
Demetrius Flannigan-Fowles,San Francisco 49ers,University of Arizona,1401 E University Tucson AZ 85721,32.2327247,-32.2327247
J.J. Taylor,New England Patriots,University of Arizona,1401 E University Tucson AZ 85721,32.2327247,-32.2327247
Nick Foles,Chicago Bears,University of Arizona,1401 E University Tucson AZ 85721,32.2327247,-32.2327247
Nick Folk,New England Patriots,University of Arizona,1401 E University Tucson AZ 85721,32.2327247,-32.2327247
Rob Gronkowski,Tampa Bay Buccaneers,University of Arizona,1401 E University Tucson AZ 85721,32.2327247,-32.2327247
Brandon Aiyuk,San Francisco 49ers,Arizona State University-Tempe,University Drive and Mill Avenue Tempe AZ 85287,33.4219437,-33.4219437
Eno Benjamin,Arizona Cardinals,Arizona State University-Tempe,University Drive and Mill Avenue Tempe AZ 85287,33.4219437,-33.4219437
Jamil Douglas,Tennessee Titans,Arizona State University-Tempe,University Drive and Mill Avenue Tempe AZ 85287,33.4219437,-33.4219437
Lawrence Guy,New England Patriots,Arizona State University-Tempe,University Drive and Mill Avenue Tempe AZ 85287,33.4219437,-33.4219437
Matt Haack,Miami Dolphins,Arizona State University-Tempe,University Drive and Mill Avenue Tempe AZ 85287,33.4219437,-33.4219437
N'Keal Harry,New England Patriots,Arizona State University-Tempe,University Drive and Mill Avenue Tempe AZ 85287,33.4219437,-33.4219437
Zane Gonzalez,Arizona Cardinals,Arizona State University-Tempe,University Drive and Mill Avenue Tempe AZ 85287,33.4219437,-33.4219437
Armon Watts,Minnesota Vikings,University of Arkansas,Administration Bldg 425 Fayetteville AR 72701,36.0699572,-36.0699572
Deatrich Wise Jr,New England Patriots,University of Arkansas,Administration Bldg 425 Fayetteville AR 72701,36.0699572,-36.0699572
Dre Greenlaw,San Francisco 49ers,University of Arkansas,Administration Bldg 425 Fayetteville AR 72701,36.0699572,-36.0699572
Frank Ragnow,Detroit Lions,University of Arkansas,Administration Bldg 425 Fayetteville AR 72701,36.0699572,-36.0699572
Hjalte Froholdt,New England Patriots,University of Arkansas,Administration Bldg 425 Fayetteville AR 72701,36.0699572,-36.0699572
Hunter Henry,Los Angeles Chargers,University of Arkansas,Administration Bldg 425 Fayetteville AR 72701,36.0699572,-36.0699572
Jeremy Sprinkle,Washington,University of Arkansas,Administration Bldg 425 Fayetteville AR 72701,36.0699572,-36.0699572
Kamren Curl,Washington,University of Arkansas,Administration Bldg 425 Fayetteville AR 72701,36.0699572,-36.0699572
McTelvin Agim,Denver Broncos,University of Arkansas,Administration Bldg 425 Fayetteville AR 72701,36.0699572,-36.0699572
Randy Ramsey,Green Bay Packers,University of Arkansas,Administration Bldg 425 Fayetteville AR 72701,36.0699572,-36.0699572
Trey Flowers,Detroit Lions,University of Arkansas,Administration Bldg 425 Fayetteville AR 72701,36.0699572,-36.0699572
Demario Davis,New Orleans Saints,Arkansas State University-Main Campus,2105 E. Aggie Road Jonesboro AR 72401,35.8414567,-35.8414567
J.D. McKissic,Washington,Arkansas State University-Main Campus,2105 E. Aggie Road Jonesboro AR 72401,35.8414567,-35.8414567
Jamie Gillan,Cleveland Browns,University of Arkansas at Pine Bluff,1200 N University Mail Slot 4789 Pine Bluff AR 71601,34.2262213,-34.2262213
Terron Armstead,New Orleans Saints,University of Arkansas at Pine Bluff,1200 N University Mail Slot 4789 Pine Bluff AR 71601,34.2262213,-34.2262213
